TICKET_NUMBER,TICKET_CREATE_DTTM,TICKET_CREATED_BY,TICKET_TYPE,SAP_CODE,SAP_NAME,REQUESTED_BY,COUNTRY,BL_CD,SERVICE_TYPE,SUBJECT,CALLBACK_DATE,CALLBACK_TIME,REFERENCE_TICKET_NUMBER,REQUEST_MISSING_DOC_DATE,APPROVING_STATUS,APPROVING_DATE,SAP_CREATED_DATE,STAGE,STATUS,TICKET_CLOSED_BY,TICKET_CLOSED_CODE,TICKET_CLOSED_NOTE,TICKET_CLOSED_DTTM
MATE---2025---000013,2025-03-29 01:26:40,GATES,Material,,KjJstQmFFDPEzhFCYNKIeUevJlWADmjyccgeIQNynCriYXhxxyoHBXfvFmJwruoAHcaHTHSCADGIddJCxdmzHsrVAGuukQLbfqoV,qaHoEwdCxsjroBUBoqesAxaCyNNwzmzOfVhkDLWZaanzOmhgqQpwIjkKkRwJEznrbSwfcwVUbFfPUaRtXpXNrfPbROjQNsvFFIUy,RX,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000004,2025-12-18 07:27:08,GATES,Material,,dfgdf,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-12-18 08:18:05,GATES,Material,,sdfgd,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-21 10:00:56,GATES,Material,,qFCudwtmrKQovKUBCYkQzGfUmGIGHwoaEhEnHKdlDnvsPzMsKOVWAlRkizXSLUgGeLvIyRtBzLxKgzPQtCAETHfmitgUbaQVMixY,WIyOEyowItyCtvuWRwETjCvbiBSqsxHqfYvyYEOYigBtFETfzBqmOcgEyIGsKmIhSgfSVnivrKEUaBASWlmHutXZBbRDIogIgxfU,LQ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000011,2025-12-18 08:16:21,GATES,Material,,dfgh,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-20 13:22:47,GATES,Material,,GZVZbRnKiihqnvjmtSaCrcVRmvxfMqbVJutfJBffzFfFjTuZCQsETWoLWRUqsEaSzWonoLxQSRoMfTDOmBtnIeGpJJsKABqmGtqM,FNHjQpafhdAOeLQBGiygjHUFDmxoHQtkHWIBhIrQBFHGQqogyasEAwhoKTyPqqLSPjiHJEETdezFGGyWKMpIToLNSdQTrrtnlwSu,SM,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-24 21:38:41,GATES,Material,,nLTIMTBJmRRnYQOXMooMvjIPedlQiRtGQicTEMNdyeVJUmIAJXNPebSLOblWzDfUqfqbCMKeJrSYIOxCDgiGZaZXWlmGpqUngtbS,iRKqCOpuFGBArAdaxFoxXwmaViWNsilwxRcsuKFcAQJksxqgIhOCuYDacmZeebhBGiVmlVERgKMGCfIaKXNwNoLvzSoDkEnfatRD,CA,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-04-23 10:30:00,GATES,Material,,tIsBvSLOCixEhvgENbrTxIZfrwPyCgDSrpRzQSxJKcWgoQoUANHNOuMJxetwDFTctHSfDLnQngiUUqfrzbLNfUwofunGKEVAPuSy,EWhUiMhvpVKWSbwsEKpMRhetQccxFJGmDxsqohFTdhxGJcMqYfCfLGYknpPuVlbdnHRluCflfRuLUJJJPcsCoAtNuFeLBQfsINnH,ZJ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000005,2025-12-18 07:33:55,GATES,Material,,dfgh,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-05-09 11:58:01,GATES,Material,,SMwmXwWftBWHxjMXNFMBFNGyjkuHDjtYPyQAcQoSLfaQvOjCHczAqOGjAoUygouyfvyVILneJnUpESXZGrPSDitNNbPbswanZTJC,qHypJyISWVQkjOewLxqltQsxKxQCsIeRBbyHoeXeTGZqcywLfLPMBwQBfyojppLfQySJLgauEiHHlOyxaWlKEjjPawyVDdUXEtIY,BU,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
